state,year,count,population,crude_rate_100k
Pennsylvania,2009,604,3196745,18.89
Rhode Island,2009,44,264987,16.6
South Carolina,2009,173,1225444,14.12
South Dakota,2009,44,225225,19.540000000000003
Tennessee,2009,311,1674771,18.57
Texas,2009,1442,7543609,19.12
Utah,2009,169,949690,17.8
Vermont,2009,25,151791,16.47
Virginia,2009,323,2076842,15.55
Washington,2009,332,1763887,18.82
West Virginia,2009,89,440868,20.19
Wisconsin,2009,277,1507858,18.37
Wyoming,2009,29,151455,19.150000000000002
Alabama,2010,189,1273450,14.840000000000002
Alaska,2010,46,208454,22.07
Arizona,2010,329,1814489,18.130000000000003
Arkansas,2010,138,795709,17.34
California,2010,1928,10430475,18.48
Colorado,2010,248,1367000,18.14
Connecticut,2010,193,917055,21.05
Delaware,2010,43,233370,18.430000000000003
District of Columbia,2010,26,124175,20.94
Florida,2010,853,4503681,18.94
Georgia,2010,470,2781285,16.900000000000002
Hawaii,2010,56,338701,16.53
Idaho,2010,77,475457,16.19
Illinois,2010,637,3492547,18.240000000000002
Indiana,2010,342,1804429,18.95
Iowa,2010,148,821394,18.02
Kansas,2010,155,811974,19.09
Kentucky,2010,212,1146606,18.490000000000002
Louisiana,2010,214,1252622,17.080000000000002
Maine,2010,63,309962,20.330000000000002
Maryland,2010,224,1517852,14.76
Massachusetts,2010,299,1625172,18.400000000000002
Michigan,2010,526,2637956,19.94
Minnesota,2010,253,1432203,17.669999999999998
Mississippi,2010,134,846956,15.82
Missouri,2010,285,1599528,17.82
Montana,2010,51,251147,20.310000000000002
Nebraska,2010,106,513608,20.64
Nevada,2010,134,733539,18.27
New Hampshire,2010,73,325031,22.46
New Jersey,2010,452,2292103,19.72
New Mexico,2010,108,579948,18.62
New York,2010,981,4895434,20.040000000000003
North Carolina,2010,485,2560998,18.94
North Dakota,2010,27,172698,15.630000000000003
Ohio,2010,531,3060751,17.35
Oklahoma,2010,176,1042844,16.880000000000003
Oregon,2010,171,970863,17.61
Pennsylvania,2010,675,3174827,21.26
Rhode Island,2010,41,261481,15.680000000000001
South Carolina,2010,184,1222217,15.05
South Dakota,2010,29,227428,12.75
Tennessee,2010,280,1673849,16.73
Texas,2010,1483,7634449,19.430000000000003
Utah,2010,171,965012,17.72
Vermont,2010,25,150226,16.64
Virginia,2010,349,2086233,16.73
Washington,2010,318,1770242,17.96
West Virginia,2010,76,438496,17.330000000000002
Wisconsin,2010,264,1501575,17.580000000000002
Wyoming,2010,25,151449,16.51
Alabama,2011,196,1263895,15.51
Alaska,2011,47,208627,22.53
Arizona,2011,342,1795647,19.05
Arkansas,2011,128,793534,16.130000000000003
California,2011,1845,10370254,17.790000000000003
Colorado,2011,232,1374955,16.87
Connecticut,2011,175,915821,19.11
Delaware,2011,45,232502,19.35
District of Columbia,2011,25,126624,19.740000000000002
Florida,2011,856,4488437,19.07
Georgia,2011,493,2779227,17.740000000000002
Hawaii,2011,63,340886,18.48
Idaho,2011,81,475686,17.03
Illinois,2011,637,3467883,18.37
Indiana,2011,309,1795904,17.21
Iowa,2011,181,822275,22.01
Kansas,2011,143,812898,17.59
Kentucky,2011,229,1143121,20.03
Louisiana,2011,228,1246073,18.3
Maine,2011,68,306199,22.21
Maryland,2011,273,1520984,17.95
Massachusetts,2011,314,1626878,19.3
Michigan,2011,525,2603185,20.17
Minnesota,2011,251,1434697,17.490000000000002
Mississippi,2011,141,838698,16.81
Missouri,2011,286,1587236,18.02
Montana,2011,46,251443,18.290000000000003
Nebraska,2011,108,516752,20.900000000000002
Nevada,2011,113,724131,15.600000000000001
New Hampshire,2011,63,322239,19.55
New Jersey,2011,475,2293748,20.71
New Mexico,2011,92,579073,15.89
New York,2011,972,4888061,19.89
North Carolina,2011,461,2557053,18.03
North Dakota,2011,28,175850,15.92
Ohio,2011,519,3031650,17.12
Oklahoma,2011,179,1044976,17.130000000000003
Oregon,2011,198,967433,20.47
Pennsylvania,2011,644,3157064,20.400000000000002
Rhode Island,2011,54,259067,20.840000000000003
South Carolina,2011,204,1213760,16.81
South Dakota,2011,38,228717,16.61
Tennessee,2011,328,1668551,19.66
Texas,2011,1512,7693071,19.650000000000002
Utah,2011,188,971379,19.35
Vermont,2011,24,149750,16.03
Virginia,2011,327,2092221,15.630000000000003
Washington,2011,339,1770867,19.14
West Virginia,2011,83,435292,19.07
Wisconsin,2011,252,1496185,16.84
Wyoming,2011,21,150865,13.92
Alabama,2012,215,1257483,17.1
Alaska,2012,42,207844,20.21
Arizona,2012,339,1790431,18.930000000000003
Arkansas,2012,120,791147,15.17
California,2012,1888,10317070,18.3
Colorado,2012,249,1378145,18.07
Connecticut,2012,178,910496,19.55
Delaware,2012,52,232066,22.41
District of Columbia,2012,16,130042,12.3
Florida,2012,850,4486969,18.94
Georgia,2012,490,2779149,17.630000000000003
Hawaii,2012,55,343216,16.02
Idaho,2012,90,475563,18.919999999999998
Illinois,2012,601,3437783,17.48
Indiana,2012,346,1784361,19.39
Iowa,2012,152,820668,18.52
Kansas,2012,171,812823,21.040000000000003
Kentucky,2012,221,1138332,19.41
Louisiana,2012,221,1241363,17.8
Maine,2012,55,302137,18.2
Maryland,2012,250,1521070,16.44
Massachusetts,2012,317,1625373,19.5
Michigan,2012,539,2573737,20.94
Minnesota,2012,304,1431778,21.230000000000004
Mississippi,2012,129,831266,15.52
Missouri,2012,271,1574173,17.22
Montana,2012,47,250791,18.740000000000002
Nebraska,2012,112,518988,21.580000000000002
Nevada,2012,115,721354,15.940000000000001
New Hampshire,2012,63,317921,19.82
New Jersey,2012,459,2285979,20.080000000000002
New Mexico,2012,82,574742,14.27
New York,2012,1022,4876123,20.96
North Carolina,2012,461,2553139,18.06
North Dakota,2012,20,180928,11.05
Ohio,2012,518,3003532,17.25
Oklahoma,2012,181,1047147,17.290000000000003
Oregon,2012,195,962738,20.25
Pennsylvania,2012,629,3135457,20.060000000000002
Rhode Island,2012,56,257106,21.78
South Carolina,2012,189,1210232,15.62
South Dakota,2012,37,229822,16.1
